(39.6465, 198.935)   (393.197, -50.1032)   (39.6465, 198.935)
(40.0673, 201.084)   (397.489, -50.7061)   (40.0673, 201.084)
(40.4881, 203.233)   (401.781, -51.3089)   (40.4881, 203.233)
(40.909, 205.382)   (406.074, -51.9117)   (40.909, 205.382)
(41.33, 207.531)   (410.366, -52.5145)   (41.33, 207.531)
(41.7509, 209.679)   (414.658, -53.1173)   (41.7509, 209.679)
(42.172, 211.828)   (418.95, -53.7201)   (42.172, 211.828)
(42.593, 213.977)   (423.242, -54.3228)   (42.593, 213.977)
(43.0142, 216.126)   (427.535, -54.9255)   (43.0142, 216.126)
(43.4353, 218.275)   (431.827, -55.5283)   (43.4353, 218.275)
(43.8565, 220.424)   (436.119, -56.131)   (43.8565, 220.424)
(44.2777, 222.573)   (440.411, -56.7337)   (44.2777, 222.573)
(44.699, 224.722)   (444.703, -57.3363)   (44.699, 224.722)
(45.1203, 226.871)   (448.995, -57.939)   (45.1203, 226.871)
(45.5417, 229.02)   (453.288, -58.5417)   (45.5417, 229.02)
(45.9631, 231.169)   (457.58, -59.1443)   (45.9631, 231.169)
(46.3845, 233.318)   (461.872, -59.7469)   (46.3845, 233.318)
(46.806, 235.467)   (466.164, -60.3495)   (46.806, 235.467)
(47.2275, 237.616)   (470.456, -60.9521)   (47.2275, 237.616)
(47.649, 239.765)   (474.748, -61.5547)   (47.649, 239.765)
(48.0705, 241.914)   (479.04, -62.1573)   (48.0705, 241.914)
(48.4921, 244.063)   (483.332, -62.7599)   (48.4921, 244.063)
(48.9138, 246.212)   (487.624, -63.3624)   (48.9138, 246.212)
(49.3354, 248.361)   (491.916, -63.9649)   (49.3354, 248.361)
(49.7571, 250.51)   (496.208, -64.5675)   (49.7571, 250.51)
(50.1788, 252.659)   (500.5, -65.17)   (50.1788, 252.659)
(50.6006, 254.809)   (504.792, -65.7725)   (50.6006, 254.809)
(51.0224, 256.958)   (509.084, -66.375)   (51.0224, 256.958)
(51.4442, 259.107)   (513.376, -66.9775)   (51.4442, 259.107)
(51.866, 261.256)   (517.668, -67.58)   (51.866, 261.256)
(52.2879, 263.405)   (521.96, -68.1824)   (52.2879, 263.405)
(52.7098, 265.554)   (526.252, -68.7849)   (52.7098, 265.554)
(53.1317, 267.703)   (530.544, -69.3873)   (53.1317, 267.703)
(53.5537, 269.852)   (534.836, -69.9898)   (53.5537, 269.852)
(53.9757, 272.001)   (539.128, -70.5922)   (53.9757, 272.001)
(54.3977, 274.15)   (543.42, -71.1946)   (54.3977, 274.15)
(54.8197, 276.299)   (547.712, -71.797)   (54.8197, 276.299)
(55.2417, 278.448)   (552.004, -72.3994)   (55.2417, 278.448)
(55.6638, 280.598)   (556.296, -73.0018)   (55.6638, 280.598)
(56.0859, 282.747)   (560.588, -73.6042)   (56.0859, 282.747)
